Admin State,Field Office,Lease Type,Case Number,Lease Number,Operator,US Well Number,Well Number,Well Name,Geo State,County,Surface Hole Location Information,Latitude/Longitude,Latitude,Longitude,Surface Owner,Expiration Date (XML),Extension Approval Date (XML),APD Approval Date (XML),Well Status Date (XML),Extended Expiration Date (XML),APD Approval Date,Current Well Status,Well Status Date,Expiration Date,Extension Approval Date,Extended Expiration Date
ALASKA,Alaska State Office,FED,AA081747,AA081747,CONOCOPHILLIPS ALASKA INCORPORATED,501032076800S1,9,TINMIAQ,AK,HARRISON BAY,ALIQUOT: SESE SEC: 18 TWN: 11N RNG: 1W,"(70.303000, -152.221000)",70.303000,-152.221000,BLM,2019-12-12T00:00:00.000-07:00,,2017-12-12T00:00:00.000-07:00,2019-04-17T00:00:00.000-06:00,,12/12/2017,TA,4/17/2019,12/12/2019,,
ALASKA,Alaska State Office,FED,AA081798,AA081798,CONOCOPHILLIPS ALASKA INCORPORATED,"5010320770, 501032077000S1",03,MT6,AK,HARRISON BAY,ALIQUOT: NWNE SEC: 6 TWN: 10N RNG: 3E,"(70.256072, -151.481421)",70.256072,-151.481421,BLM,2020-03-01T00:00:00.000-07:00,,2018-03-02T00:00:00.000-07:00,2023-06-16T00:00:00.000-06:00,,3/2/2018,OSI,6/16/2023,3/1/2020,,
ALASKA,Alaska State Office,FED,AA081798,AA081798,CONOCOPHILLIPS ALASKA INCORPORATED,"5010320772, 501032077200S1",08,MT6,AK,HARRISON BAY,ALIQUOT: NENW SEC: 6 TWN: 10N RNG: 3E,"(70.255973, -151.482174)",70.255973,-151.482174,BLM,2020-05-31T00:00:00.000-06:00,,2018-06-01T00:00:00.000-06:00,2023-08-05T00:00:00.000-06:00,,6/1/2018,WIW,8/5/2023,5/31/2020,,
ALASKA,Alaska State Office,FED,AA081798,AA081798,CONOCOPHILLIPS ALASKA INCORPORATED,"5010320775, 501032077500S1",04,MT6,AK,HARRISON BAY,ALIQUOT: NENW SEC: 6 TWN: 10N RNG: 3E,"(70.256053, -151.481389)",70.256053,-151.481389,BLM,2020-09-20T00:00:00.000-06:00,,2018-09-21T00:00:00.000-06:00,2020-02-14T00:00:00.000-07:00,,9/21/2018,WIWSI,2/14/2020,9/20/2020,,
ALASKA,Alaska State Office,FED,AA081810,AA081810,CONOCOPHILLIPS ALASKA INCORPORATED,501032076600S1,7,TINMIAQ,AK,HARRISON BAY,ALIQUOT: SWSW SEC: 18 TWN: 10N RNG: 1W,"(70.215000, -152.251000)",70.215000,-152.251000,BLM,2019-12-12T00:00:00.000-07:00,,2017-12-12T00:00:00.000-07:00,2018-04-02T00:00:00.000-06:00,,12/12/2017,TA,4/2/2018,12/12/2019,,
ALASKA,Alaska State Office,FED,AA084140,AA084140,CONOCOPHILLIPS ALASKA INCORPORATED,501032079800S1,162,CD2,AK,HARRISON BAY,ALIQUOT: NESW SEC: 2 TWN: 11N RNG: 4E,"(70.337343, -151.046260)",70.337343,-151.046260,STATE,2021-01-28T00:00:00.000-07:00,,2019-01-29T00:00:00.000-07:00,2021-01-28T00:00:00.000-07:00,,1/29/2019,UAPD,1/28/2021,1/28/2021,,
ALASKA,Alaska State Office,FED,AA092673,AA092673,CONOCOPHILLIPS ALASKA INCORPORATED,501032076700S1,8,TINMIAQ,AK,HARRISON BAY,ALIQUOT: NENE SEC: 17 TWN: 9N RNG: 1W,"(70.141000, -152.216000)",70.141000,-152.216000,BLM,2019-12-12T00:00:00.000-07:00,,2017-12-12T00:00:00.000-07:00,2018-04-03T00:00:00.000-06:00,,12/12/2017,TA,4/3/2018,12/12/2019,,
ALASKA,Alaska State Office,FED,AA093131,AA093131,CONOCOPHILLIPS ALASKA INCORPORATED,501032076900S1,1,STONY HILL,AK,HARRISON BAY,ALIQUOT: NWSE SEC: 21 TWN: 9N RNG: 4E,"(70.119000, -151.127000)",70.119000,-151.127000,BLM,2019-12-12T00:00:00.000-07:00,,2017-12-12T00:00:00.000-07:00,2018-04-25T00:00:00.000-06:00,,12/12/2017,P+A,4/25/2018,12/12/2019,,
ALASKA,Alaska State Office,FED,AA81787,AA81787,CONOCOPHILLIPS ALASKA INCORPORATED,501032078100S1,11,TINMIAQ,AK,HARRISON BAY,ALIQUOT: NWNW SEC: 32 TWN: 9N RNG: 1W,"(70.096279, -152.208551)",70.096279,-152.208551,BLM,2023-04-24T00:00:00.000-06:00,2023-04-19T00:00:00.000-06:00,2018-12-07T00:00:00.000-07:00,2019-04-24T00:00:00.000-06:00,2024-04-23T00:00:00.000-06:00,12/7/2018,TA,4/24/2019,4/24/2023,4/19/2023,4/23/2024
ALASKA,Alaska State Office,FED,AA81810,AA81810,CONOCOPHILLIPS ALASKA INCORPORATED,501032078000S1,10,TINMIAQ,AK,HARRISON BAY,ALIQUOT: SWSE SEC: 9 TWN: 10N RNG: 1W,"(70.230472, -152.151111)",70.230472,-152.151111,BLM,2020-12-06T00:00:00.000-07:00,,2018-12-07T00:00:00.000-07:00,2019-04-21T00:00:00.000-06:00,,12/7/2018,TA,4/21/2019,12/6/2020,,
